record_id,caller_person_id,receiver_person_id,caller_number,receiver_number,timestamp,duration_seconds,call_type,tower_reference,source_system
CALL00021,P014,P011,+91 8048728842,+91 9854026519,2026-03-09 15:20:06,126,voice,TWR-116,Telecom Provider CDR
CALL00022,P001,P016,+91 9029837164,+91 9858538223,2026-01-29 15:40:26,0,missed,TWR-157,Telecom Provider CDR
CALL00023,P041,P032,+91 9076168413,+91 9012057074,2025-09-23 19:05:22,652,voice,TWR-117,Telecom Provider CDR
CALL00024,P007,P002,+91 9834840362,+91 9924029930,2025-10-03 08:30:10,550,voice,TWR-125,Telecom Provider CDR
CALL00025,P024,P021,+91 9894670613,+91 7092466518,2026-03-07 12:10:38,0,voicemail,TWR-100,Telecom Provider CDR
CALL00026,P025,P017,+91 9058248303,+91 9945836599,2025-10-03 06:25:01,0,voicemail,TWR-186,Telecom Provider CDR
CALL00027,P010,P028,+91 9891274271,+91 8082176114,2025-12-13 21:05:28,0,missed,TWR-104,Telecom Provider CDR
CALL00028,P036,P003,+91 9821597187,+91 9812035599,2026-03-13 17:10:28,93,voice,TWR-114,Telecom Provider CDR
CALL00029,P015,P024,+91 9972065052,+91 9894670613,2025-12-18 16:20:54,783,voice,TWR-144,Telecom Provider CDR
CALL00030,P008,P024,+91 9949882535,+91 9894670613,2026-02-20 22:20:45,16,voice,TWR-180,Telecom Provider CDR
CALL00031,P021,P036,+91 7092466518,+91 9821597187,2026-02-28 18:40:58,0,voicemail,TWR-121,Telecom Provider CDR
CALL00032,P040,P012,+91 8079814367,+91 7017878352,2025-10-28 14:25:47,497,voice,TWR-173,Telecom Provider CDR
CALL00033,P007,P032,+91 9834840362,+91 9012057074,2025-09-25 20:00:10,0,missed,TWR-120,Telecom Provider CDR
CALL00034,P014,P042,+91 8048728842,+91 9855823679,2026-02-04 22:55:07,0,missed,TWR-111,Telecom Provider CDR
CALL00035,P002,P009,+91 9924029930,+91 9899066376,2026-03-24 06:55:20,257,voice,TWR-163,Telecom Provider CDR
CALL00036,P001,P041,+91 9029837164,+91 9076168413,2026-02-02 19:25:41,275,voice,TWR-103,Telecom Provider CDR
CALL00037,P025,P015,+91 9058248303,+91 9972065052,2026-03-14 23:10:24,234,voice,TWR-161,Telecom Provider CDR
CALL00038,P007,P042,+91 9834840362,+91 9855823679,2025-12-05 19:00:42,0,missed,TWR-120,Telecom Provider CDR
CALL00039,P020,P040,+91 9978957272,+91 8079814367,2026-03-05 08:00:31,837,voice,TWR-159,Telecom Provider CDR
CALL00040,P004,P028,+91 9817447787,+91 8082176114,2025-11-05 21:50:57,0,voicemail,TWR-109,Telecom Provider CDR
CALL00041,P023,P032,+91 7050152218,+91 9012057074,2026-02-03 14:55:22,0,missed,TWR-198,Telecom Provider CDR
CALL00042,P020,P005,+91 9978957272,+91 8041629537,2025-12-16 06:05:07,0,missed,TWR-187,Telecom Provider CDR
CALL00043,P019,P024,+91 9961366134,+91 9894670613,2025-12-11 10:35:37,583,voice,TWR-125,Telecom Provider CDR
CALL00044,P014,P019,+91 8048728842,+91 9961366134,2025-12-06 06:25:07,0,missed,TWR-165,Telecom Provider CDR
CALL00045,P035,P026,+91 7011946866,+91 7087393203,2025-10-20 06:25:00,391,voice,TWR-105,Telecom Provider CDR
CALL00046,P020,P042,+91 9978957272,+91 9855823679,2025-09-11 12:20:15,854,voice,TWR-153,Telecom Provider CDR
CALL00047,P028,P027,+91 8082176114,+91 9884645824,2026-04-01 10:35:59,0,voicemail,TWR-126,Telecom Provider CDR
CALL00048,P041,P011,+91 9076168413,+91 9854026519,2025-11-09 13:40:15,0,voicemail,TWR-151,Telecom Provider CDR
CALL00049,P004,P026,+91 9817447787,+91 7087393203,2025-09-26 13:20:35,0,missed,TWR-116,Telecom Provider CDR
CALL00050,P038,P002,+91 8063442307,+91 9924029930,2025-09-23 17:20:51,24,voice,TWR-198,Telecom Provider CDR
CALL00051,P035,P010,+91 7011946866,+91 9891274271,2025-12-31 15:35:07,0,voicemail,TWR-149,Telecom Provider CDR
CALL00052,P032,P013,+91 9012057074,+91 9025419329,2025-09-22 17:50:33,0,missed,TWR-197,Telecom Provider CDR
CALL00053,P034,P004,+91 9021933488,+91 9817447787,2026-01-17 21:25:30,255,voice,TWR-112,Telecom Provider CDR
CALL00054,P013,P004,+91 9025419329,+91 9817447787,2025-10-31 20:40:34,0,voicemail,TWR-148,Telecom Provider CDR
CALL00055,P040,P024,+91 8079814367,+91 9894670613,2026-04-09 22:50:20,84,voice,TWR-106,Telecom Provider CDR
CALL00056,P007,P017,+91 9834840362,+91 9945836599,2025-11-15 18:30:56,0,voicemail,TWR-113,Telecom Provider CDR
CALL00057,P036,P041,+91 9821597187,+91 9076168413,2026-03-31 06:15:23,0,voicemail,TWR-133,Telecom Provider CDR
CALL00058,P015,P028,+91 9972065052,+91 8082176114,2026-02-11 13:35:50,581,voice,TWR-105,Telecom Provider CDR
CALL00059,P036,P026,+91 9821597187,+91 7087393203,2025-10-24 12:50:12,634,voice,TWR-100,Telecom Provider CDR
CALL00060,P035,P009,+91 7011946866,+91 9899066376,2026-04-16 20:15:06,889,voice,TWR-111,Telecom Provider CDR
CALL00061,P036,P025,+91 9821597187,+91 9058248303,2026-03-05 07:40:03,506,voice,TWR-194,Telecom Provider CDR
CALL00062,P009,P012,+91 9899066376,+91 7017878352,2025-10-11 23:20:25,452,voice,TWR-124,Telecom Provider CDR
CALL00063,P033,P019,+91 7027909944,+91 9961366134,2026-03-12 17:50:55,163,voice,TWR-141,Telecom Provider CDR
CALL00064,P008,P015,+91 9949882535,+91 9972065052,2026-02-05 09:05:09,454,voice,TWR-134,Telecom Provider CDR
CALL00065,P009,P036,+91 9899066376,+91 9821597187,2025-10-03 21:00:58,0,voicemail,TWR-164,Telecom Provider CDR
CALL00066,P018,P041,+91 9025135342,+91 9076168413,2026-01-31 11:15:10,96,voice,TWR-111,Telecom Provider CDR
CALL00067,P020,P003,+91 9978957272,+91 9812035599,2025-09-30 20:35:44,91,voice,TWR-195,Telecom Provider CDR
CALL00068,P003,P013,+91 9812035599,+91 9025419329,2025-09-14 11:40:24,720,voice,TWR-182,Telecom Provider CDR
CALL00069,P003,P008,+91 9812035599,+91 9949882535,2026-04-05 09:00:26,0,voicemail,TWR-185,Telecom Provider CDR
CALL00070,P038,P027,+91 8063442307,+91 9884645824,2026-03-19 10:15:00,0,voicemail,TWR-150,Telecom Provider CDR
CALL00071,P005,P003,+91 8041629537,+91 9812035599,2026-03-14 15:35:36,0,voicemail,TWR-111,Telecom Provider CDR
CALL00072,P014,P006,+91 8048728842,+91 7037149286,2025-12-21 21:40:26,564,voice,TWR-134,Telecom Provider CDR
CALL00073,P001,P004,+91 9029837164,+91 9817447787,2025-12-11 10:55:11,465,voice,TWR-178,Telecom Provider CDR
CALL00074,P035,P033,+91 7011946866,+91 7027909944,2025-12-13 09:55:47,86,voice,TWR-164,Telecom Provider CDR
CALL00075,P006,P026,+91 7037149286,+91 7087393203,2026-03-20 16:00:47,845,voice,TWR-179,Telecom Provider CDR
CALL00076,P018,P024,+91 9025135342,+91 9894670613,2026-02-19 20:00:34,33,voice,TWR-182,Telecom Provider CDR
CALL00077,P017,P002,+91 9945836599,+91 9924029930,2025-12-14 07:15:35,271,voice,TWR-138,Telecom Provider CDR
CALL00078,P005,P027,+91 8041629537,+91 9884645824,2026-01-23 23:15:35,0,voicemail,TWR-195,Telecom Provider CDR
CALL00079,P023,P007,+91 7050152218,+91 9834840362,2025-11-04 12:30:23,0,voicemail,TWR-192,Telecom Provider CDR
CALL00080,P004,P023,+91 9817447787,+91 7050152218,2025-12-28 20:55:18,0,missed,TWR-175,Telecom Provider CDR
CALL00081,P003,P042,+91 9812035599,+91 9855823679,2025-10-24 10:10:15,174,voice,TWR-129,Telecom Provider CDR
CALL00082,P014,P003,+91 8048728842,+91 9812035599,2026-01-18 21:00:56,290,voice,TWR-173,Telecom Provider CDR
CALL00083,P011,P004,+91 9854026519,+91 9817447787,2026-02-19 13:00:09,0,voicemail,TWR-164,Telecom Provider CDR
CALL00084,P042,P018,+91 9855823679,+91 9025135342,2026-01-09 06:25:59,383,voice,TWR-146,Telecom Provider CDR
CALL00085,P033,P003,+91 7027909944,+91 9812035599,2025-09-30 10:05:44,0,voicemail,TWR-137,Telecom Provider CDR
CALL00086,P022,P038,+91 8011745854,+91 8063442307,2025-11-26 22:35:00,0,voicemail,TWR-112,Telecom Provider CDR
CALL00087,P011,P008,+91 9854026519,+91 9949882535,2025-11-23 21:25:42,334,voice,TWR-179,Telecom Provider CDR
CALL00088,P025,P010,+91 9058248303,+91 9891274271,2026-02-07 18:05:48,0,voicemail,TWR-169,Telecom Provider CDR
CALL00089,P012,P027,+91 7017878352,+91 9884645824,2026-04-19 22:50:24,569,voice,TWR-161,Telecom Provider CDR
CALL00090,P021,P042,+91 7092466518,+91 9855823679,2026-03-12 16:20:18,867,voice,TWR-186,Telecom Provider CDR
CALL00091,P005,P040,+91 8041629537,+91 8079814367,2025-12-30 14:30:02,21,voice,TWR-174,Telecom Provider CDR
CALL00092,P011,P042,+91 9854026519,+91 9855823679,2026-01-19 16:55:07,0,voicemail,TWR-147,Telecom Provider CDR
CALL00093,P011,P009,+91 9854026519,+91 9899066376,2025-09-25 19:05:14,0,missed,TWR-186,Telecom Provider CDR
CALL00094,P018,P022,+91 9025135342,+91 8011745854,2025-11-03 21:10:19,435,voice,TWR-187,Telecom Provider CDR
CALL00095,P004,P014,+91 9817447787,+91 8048728842,2025-10-30 19:45:36,798,voice,TWR-149,Telecom Provider CDR
CALL00096,P006,P004,+91 7037149286,+91 9817447787,2026-04-17 11:05:44,320,voice,TWR-189,Telecom Provider CDR
CALL00097,P033,P027,+91 7027909944,+91 9884645824,2025-11-30 08:35:30,0,missed,TWR-150,Telecom Provider CDR
CALL00098,P003,P019,+91 9812035599,+91 9961366134,2026-02-26 11:10:03,638,voice,TWR-159,Telecom Provider CDR
CALL00099,P033,P040,+91 7027909944,+91 8079814367,2025-12-17 18:45:13,0,missed,TWR-180,Telecom Provider CDR
CALL00100,P014,P018,+91 8048728842,+91 9025135342,2026-03-29 10:25:36,0,voicemail,TWR-125,Telecom Provider CDR
CALL00101,P035,P013,+91 7011946866,+91 9025419329,2025-10-17 18:25:07,874,voice,TWR-130,Telecom Provider CDR
CALL00102,P033,P010,+91 7027909944,+91 9891274271,2026-02-06 10:35:09,0,missed,TWR-126,Telecom Provider CDR
CALL00103,P024,P006,+91 9894670613,+91 7037149286,2025-09-23 20:55:13,701,voice,TWR-198,Telecom Provider CDR
CALL00104,P018,P034,+91 9025135342,+91 9021933488,2026-03-18 09:30:50,225,voice,TWR-194,Telecom Provider CDR
CALL00105,P040,P020,+91 8079814367,+91 9978957272,2025-09-17 11:00:19,426,voice,TWR-180,Telecom Provider CDR
CALL00106,P007,P020,+91 9834840362,+91 9978957272,2025-10-13 16:45:04,699,voice,TWR-166,Telecom Provider CDR
CALL00107,P036,P041,+91 9821597187,+91 9076168413,2025-11-18 18:10:40,0,voicemail,TWR-100,Telecom Provider CDR
CALL00108,P032,P009,+91 9012057074,+91 9899066376,2026-04-03 19:50:08,138,voice,TWR-115,Telecom Provider CDR
CALL00109,P005,P028,+91 8041629537,+91 8082176114,2025-10-02 16:05:48,0,voicemail,TWR-161,Telecom Provider CDR
CALL00110,P007,P037,+91 9834840362,+91 7067154811,2026-03-19 14:40:47,365,voice,TWR-170,Telecom Provider CDR
CALL00111,P022,P034,+91 8011745854,+91 9021933488,2025-10-28 12:55:10,0,missed,TWR-151,Telecom Provider CDR
CALL00112,P018,P022,+91 9025135342,+91 8011745854,2026-03-09 23:35:02,0,missed,TWR-107,Telecom Provider CDR
CALL00113,P013,P042,+91 9025419329,+91 9855823679,2026-03-25 20:55:05,354,voice,TWR-120,Telecom Provider CDR
CALL00114,P033,P016,+91 7027909944,+91 9858538223,2026-03-31 16:45:11,847,voice,TWR-117,Telecom Provider CDR
CALL00115,P009,P021,+91 9899066376,+91 7092466518,2025-09-19 20:25:54,805,voice,TWR-158,Telecom Provider CDR
CALL00116,P008,P003,+91 9949882535,+91 9812035599,2026-03-21 12:10:55,0,voicemail,TWR-157,Telecom Provider CDR
CALL00117,P009,P001,+91 9899066376,+91 9029837164,2025-12-18 15:05:04,0,missed,TWR-143,Telecom Provider CDR
CALL00118,P012,P010,+91 7017878352,+91 9891274271,2026-03-30 17:40:59,49,voice,TWR-167,Telecom Provider CDR
CALL00119,P007,P004,+91 9834840362,+91 9817447787,2025-11-10 17:50:38,126,voice,TWR-122,Telecom Provider CDR
CALL00120,P015,P036,+91 9972065052,+91 9821597187,2026-03-01 06:10:47,104,voice,TWR-190,Telecom Provider CDR
CALL00121,P037,P027,+91 7067154811,+91 9884645824,2025-10-31 20:30:32,389,voice,TWR-113,Telecom Provider CDR
CALL00122,P001,P022,+91 9029837164,+91 8011745854,2026-02-03 18:15:41,0,voicemail,TWR-184,Telecom Provider CDR
CALL00123,P037,P002,+91 7067154811,+91 9924029930,2026-01-22 06:05:17,0,missed,TWR-122,Telecom Provider CDR
CALL00124,P028,P009,+91 8082176114,+91 9899066376,2026-01-19 21:50:09,448,voice,TWR-161,Telecom Provider CDR
CALL00125,P041,P027,+91 9076168413,+91 9884645824,2025-09-23 06:45:58,482,voice,TWR-159,Telecom Provider CDR
CALL00126,P041,P007,+91 9076168413,+91 9834840362,2025-11-23 07:00:22,623,voice,TWR-174,Telecom Provider CDR
CALL00127,P002,P034,+91 9924029930,+91 9021933488,2025-10-08 10:25:12,0,voicemail,TWR-126,Telecom Provider CDR
CALL00128,P037,P020,+91 7067154811,+91 9978957272,2025-09-30 15:15:24,328,voice,TWR-149,Telecom Provider CDR
CALL00129,P026,P036,+91 7087393203,+91 9821597187,2025-09-24 21:45:41,126,voice,TWR-112,Telecom Provider CDR
CALL00130,P018,P010,+91 9025135342,+91 9891274271,2026-02-03 11:10:08,859,voice,TWR-155,Telecom Provider CDR
CALL00131,P017,P024,+91 9945836599,+91 9894670613,2026-01-31 15:25:43,0,voicemail,TWR-116,Telecom Provider CDR
CALL00132,P037,P026,+91 7067154811,+91 7087393203,2025-12-10 16:50:08,455,voice,TWR-112,Telecom Provider CDR
CALL00133,P018,P015,+91 9025135342,+91 9972065052,2025-09-20 20:45:46,0,voicemail,TWR-167,Telecom Provider CDR
CALL00134,P002,P016,+91 9924029930,+91 9858538223,2025-10-21 17:35:29,265,voice,TWR-133,Telecom Provider CDR
CALL00135,P040,P010,+91 8079814367,+91 9891274271,2026-04-17 18:05:54,0,voicemail,TWR-113,Telecom Provider CDR
CALL00136,P019,P023,+91 9961366134,+91 7050152218,2025-10-24 19:25:09,685,voice,TWR-162,Telecom Provider CDR
CALL00137,P025,P028,+91 9058248303,+91 8082176114,2025-09-22 16:40:41,0,voicemail,TWR-180,Telecom Provider CDR
CALL00138,P024,P040,+91 9894670613,+91 8079814367,2026-02-19 06:15:19,0,voicemail,TWR-147,Telecom Provider CDR
CALL00139,P020,P042,+91 9978957272,+91 9855823679,2026-01-02 17:25:04,0,voicemail,TWR-184,Telecom Provider CDR
CALL00140,P032,P003,+91 9012057074,+91 9812035599,2025-11-25 22:35:05,0,voicemail,TWR-179,Telecom Provider CDR
CALL00141,P013,P012,+91 9025419329,+91 7017878352,2025-09-14 09:05:13,302,voice,TWR-112,Telecom Provider CDR
CALL00142,P007,P024,+91 9834840362,+91 9894670613,2025-12-11 10:50:18,0,missed,TWR-152,Telecom Provider CDR
CALL00143,P023,P001,+91 7050152218,+91 9029837164,2025-11-19 11:10:57,496,voice,TWR-135,Telecom Provider CDR
CALL00144,P028,P042,+91 8082176114,+91 9855823679,2026-01-30 22:55:42,843,voice,TWR-101,Telecom Provider CDR
CALL00145,P012,P035,+91 7017878352,+91 7011946866,2025-09-13 23:30:40,0,voicemail,TWR-154,Telecom Provider CDR
CALL00146,P037,P035,+91 7067154811,+91 7011946866,2026-03-13 16:00:09,392,voice,TWR-193,Telecom Provider CDR
CALL00147,P024,P022,+91 9894670613,+91 8011745854,2025-09-11 15:50:20,0,voicemail,TWR-180,Telecom Provider CDR
CALL00148,P037,P009,+91 7067154811,+91 9899066376,2025-10-01 14:35:01,812,voice,TWR-109,Telecom Provider CDR
CALL00149,P008,P023,+91 9949882535,+91 7050152218,2026-04-17 15:20:20,0,missed,TWR-138,Telecom Provider CDR
CALL00150,P008,P013,+91 9949882535,+91 9025419329,2026-03-25 09:45:42,19,voice,TWR-135,Telecom Provider CDR
CALL00151,P001,P013,+91 9029837164,+91 9025419329,2026-02-19 12:15:19,793,voice,TWR-122,Telecom Provider CDR
CALL00152,P015,P017,+91 9972065052,+91 9945836599,2026-01-17 12:35:11,332,voice,TWR-195,Telecom Provider CDR
CALL00153,P007,P034,+91 9834840362,+91 9021933488,2026-03-17 07:25:35,266,voice,TWR-174,Telecom Provider CDR
CALL00154,P023,P027,+91 7050152218,+91 9884645824,2025-12-20 20:05:34,9,voice,TWR-107,Telecom Provider CDR
CALL00155,P023,P013,+91 7050152218,+91 9025419329,2026-02-15 19:35:25,78,voice,TWR-129,Telecom Provider CDR
CALL00156,P028,P010,+91 8082176114,+91 9891274271,2026-02-23 19:20:05,0,voicemail,TWR-172,Telecom Provider CDR
CALL00157,P019,P017,+91 9961366134,+91 9945836599,2026-02-12 18:20:27,798,voice,TWR-103,Telecom Provider CDR
CALL00158,P041,P023,+91 9076168413,+91 7050152218,2026-03-29 22:00:02,855,voice,TWR-112,Telecom Provider CDR
CALL00159,P016,P018,+91 9858538223,+91 9025135342,2026-03-24 16:10:03,656,voice,TWR-113,Telecom Provider CDR
CALL00160,P021,P017,+91 7092466518,+91 9945836599,2025-10-08 22:40:58,0,voicemail,TWR-146,Telecom Provider CDR
CALL00161,P018,P008,+91 9025135342,+91 9949882535,2026-04-09 06:25:34,717,voice,TWR-172,Telecom Provider CDR
CALL00162,P018,P038,+91 9025135342,+91 8063442307,2026-01-11 22:35:18,400,voice,TWR-173,Telecom Provider CDR
CALL00163,P041,P007,+91 9076168413,+91 9834840362,2025-12-06 16:10:11,752,voice,TWR-138,Telecom Provider CDR
CALL00164,P025,P004,+91 9058248303,+91 9817447787,2026-01-03 11:25:34,78,voice,TWR-112,Telecom Provider CDR
CALL00165,P016,P032,+91 9858538223,+91 9012057074,2026-03-11 21:45:42,0,voicemail,TWR-195,Telecom Provider CDR
CALL00166,P035,P033,+91 7011946866,+91 7027909944,2026-02-16 19:30:04,0,missed,TWR-183,Telecom Provider CDR
CALL00167,P016,P001,+91 9858538223,+91 9029837164,2025-09-13 12:10:13,0,voicemail,TWR-164,Telecom Provider CDR
CALL00168,P008,P021,+91 9949882535,+91 7092466518,2025-11-08 10:35:05,0,voicemail,TWR-142,Telecom Provider CDR
CALL00169,P037,P024,+91 7067154811,+91 9894670613,2025-12-14 17:45:30,0,voicemail,TWR-195,Telecom Provider CDR
CALL00170,P027,P001,+91 9884645824,+91 9029837164,2026-01-22 21:50:33,0,missed,TWR-116,Telecom Provider CDR
CALL00171,P042,P033,+91 9855823679,+91 7027909944,2026-04-21 08:05:47,556,voice,TWR-154,Telecom Provider CDR
CALL00172,P012,P019,+91 7017878352,+91 9961366134,2025-10-29 10:10:48,271,voice,TWR-125,Telecom Provider CDR
CALL00173,P005,P007,+91 8041629537,+91 9834840362,2026-03-29 09:30:41,119,voice,TWR-147,Telecom Provider CDR
CALL00174,P037,P011,+91 7067154811,+91 9854026519,2026-01-11 07:55:52,82,voice,TWR-148,Telecom Provider CDR
CALL00175,P003,P009,+91 9812035599,+91 9899066376,2025-12-25 10:40:11,806,voice,TWR-171,Telecom Provider CDR
CALL00176,P005,P008,+91 8041629537,+91 9949882535,2026-04-14 19:45:33,865,voice,TWR-192,Telecom Provider CDR
CALL00177,P019,P001,+91 9961366134,+91 9029837164,2025-12-05 20:55:44,627,voice,TWR-170,Telecom Provider CDR
CALL00178,P023,P016,+91 7050152218,+91 9858538223,2025-10-04 23:25:11,0,voicemail,TWR-170,Telecom Provider CDR
CALL00179,P014,P034,+91 8048728842,+91 9021933488,2026-02-16 06:20:42,466,voice,TWR-120,Telecom Provider CDR
CALL00180,P003,P009,+91 9812035599,+91 9899066376,2026-03-07 12:45:51,0,voicemail,TWR-163,Telecom Provider CDR
CALL00181,P011,P016,+91 9854026519,+91 9858538223,2026-01-01 12:30:38,0,missed,TWR-191,Telecom Provider CDR
CALL00182,P014,P009,+91 8048728842,+91 9899066376,2026-01-18 19:05:41,799,voice,TWR-186,Telecom Provider CDR
CALL00183,P002,P006,+91 9924029930,+91 7037149286,2026-03-03 21:45:13,506,voice,TWR-132,Telecom Provider CDR
CALL00184,P005,P003,+91 8041629537,+91 9812035599,2026-02-20 08:45:29,614,voice,TWR-140,Telecom Provider CDR
CALL00185,P035,P040,+91 7011946866,+91 8079814367,2026-01-28 12:05:30,246,voice,TWR-175,Telecom Provider CDR
CALL00186,P025,P016,+91 9058248303,+91 9858538223,2026-01-18 08:25:02,0,voicemail,TWR-175,Telecom Provider CDR
CALL00187,P034,P011,+91 9021933488,+91 9854026519,2026-02-01 09:45:48,0,missed,TWR-172,Telecom Provider CDR
CALL00188,P040,P009,+91 8079814367,+91 9899066376,2025-09-10 13:45:18,0,voicemail,TWR-149,Telecom Provider CDR
CALL00189,P025,P019,+91 9058248303,+91 9961366134,2026-02-10 12:55:09,202,voice,TWR-197,Telecom Provider CDR
CALL00190,P002,P024,+91 9924029930,+91 9894670613,2025-11-02 21:15:05,0,missed,TWR-192,Telecom Provider CDR
CALL00191,P014,P040,+91 8048728842,+91 8079814367,2025-11-17 12:25:22,724,voice,TWR-160,Telecom Provider CDR
CALL00192,P037,P023,+91 7067154811,+91 7050152218,2025-10-08 09:30:01,0,missed,TWR-109,Telecom Provider CDR
CALL00193,P020,P015,+91 9978957272,+91 9972065052,2025-10-16 11:20:16,0,voicemail,TWR-143,Telecom Provider CDR
CALL00194,P005,P038,+91 8041629537,+91 8063442307,2025-09-26 11:40:55,0,voicemail,TWR-130,Telecom Provider CDR
CALL00195,P037,P001,+91 7067154811,+91 9029837164,2026-02-14 22:50:10,0,voicemail,TWR-183,Telecom Provider CDR
CALL00196,P023,P013,+91 7050152218,+91 9025419329,2025-12-04 21:10:37,90,voice,TWR-194,Telecom Provider CDR
CALL00197,P008,P027,+91 9949882535,+91 9884645824,2026-03-12 21:05:50,847,voice,TWR-142,Telecom Provider CDR
CALL00198,P007,P038,+91 9834840362,+91 8063442307,2025-12-18 23:30:50,858,voice,TWR-118,Telecom Provider CDR
CALL00199,P032,P038,+91 9012057074,+91 8063442307,2026-01-20 10:45:39,261,voice,TWR-173,Telecom Provider CDR
CALL00200,P040,P025,+91 8079814367,+91 9058248303,2025-11-28 09:15:30,0,missed,TWR-166,Telecom Provider CDR
CALL00201,P012,P016,+91 7017878352,+91 9858538223,2026-03-17 17:55:17,0,missed,TWR-147,Telecom Provider CDR
CALL00202,P018,P042,+91 9025135342,+91 9855823679,2026-01-15 22:10:19,332,voice,TWR-164,Telecom Provider CDR
CALL00203,P017,P035,+91 9945836599,+91 7011946866,2025-12-08 23:55:24,309,voice,TWR-151,Telecom Provider CDR
CALL00204,P023,P006,+91 7050152218,+91 7037149286,2026-01-17 12:15:54,0,voicemail,TWR-106,Telecom Provider CDR
CALL00205,P038,P026,+91 8063442307,+91 7087393203,2026-03-27 22:35:07,463,voice,TWR-109,Telecom Provider CDR
CALL00206,P002,P036,+91 9924029930,+91 9821597187,2026-01-03 12:35:40,747,voice,TWR-132,Telecom Provider CDR
CALL00207,P041,P025,+91 9076168413,+91 9058248303,2026-03-13 06:50:53,0,voicemail,TWR-144,Telecom Provider CDR
CALL00208,P025,P005,+91 9058248303,+91 8041629537,2026-04-22 16:55:09,0,voicemail,TWR-124,Telecom Provider CDR
CALL00209,P037,P010,+91 7067154811,+91 9891274271,2026-01-21 09:35:58,719,voice,TWR-174,Telecom Provider CDR
CALL00210,P036,P019,+91 9821597187,+91 9961366134,2026-02-05 11:05:30,0,voicemail,TWR-110,Telecom Provider CDR
CALL00211,P002,P017,+91 9924029930,+91 9945836599,2025-12-19 19:45:34,816,voice,TWR-198,Telecom Provider CDR
CALL00212,P010,P027,+91 9891274271,+91 9884645824,2026-02-01 20:15:01,97,voice,TWR-173,Telecom Provider CDR
CALL00213,P001,P011,+91 9029837164,+91 9854026519,2025-10-17 09:45:07,0,voicemail,TWR-118,Telecom Provider CDR
CALL00214,P035,P011,+91 7011946866,+91 9854026519,2025-10-25 12:25:35,0,voicemail,TWR-178,Telecom Provider CDR
CALL00215,P020,P002,+91 9978957272,+91 9924029930,2026-01-23 20:35:59,477,voice,TWR-175,Telecom Provider CDR
CALL00216,P001,P040,+91 9029837164,+91 8079814367,2025-12-18 08:15:58,501,voice,TWR-144,Telecom Provider CDR
CALL00217,P005,P010,+91 8041629537,+91 9891274271,2025-10-18 12:45:14,897,voice,TWR-154,Telecom Provider CDR
CALL00218,P035,P028,+91 7011946866,+91 8082176114,2025-12-14 11:25:18,0,missed,TWR-103,Telecom Provider CDR
